127.0.0.1, 2016-02-28 16:05:28, GET, /lib, HTTP/1.1, 200, 0.412000
127.0.0.1, 2016-02-28 16:05:28, GET, /lib/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-02-28 16:05:28, GET, /lib/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-02-28 16:05:28, GET, /lib/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-02-28 16:05:28, GET, /lib/static/js/jquery.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-02-28 16:05:28, GET, /lib/static/css/calendar.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-02-28 16:05:28, GET, /lib/static/js/calendar.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-02-28 16:05:28, GET, /lib/static/js/web2py.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-02-28 16:05:28, GET, /lib/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-02-28 16:05:28, GET, /lib/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-02-28 16:05:28, GET, /lib/static/js/share.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-02-28 16:05:29, GET, /lib/static/images/background.jpg, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-02-28 16:05:29, GET, /lib/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-02-28 16:05:29, GET, /lib/static/images/twitter.png, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-02-28 16:05:29, GET, /lib/static/images/facebook.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-02-28 16:05:29, GET, /lib/static/images/gplus-32.png, HTTP/1.1, 200, 0.000000
